MM FASHION LTD.,,,,,,,,, Cash On Hand 
 Cash Book ,,,,,,,,, -   
Credit/Inward,,,,Debit/Outward,,,,,
Date,Catagories,Pariculars, Amount Tk. ,Date,Catagories,Supplier,Buyer,Particulars, Amount Tk. 
01-02-2025,Loan A/C Chairman,," 261,080 ",01-02-25,Subcontract bill,,Brooklyn: Joggers,," 2,400 "
,,, -   ,01-02-25,Convence,,,Bablu, 80 
,,, -   ,01-02-25,Fabric- Purchase,S.F Traders,Brooklyn: Joggers,," 258,600 "
02-02-2025,Loan A/C Chairman,," 492,062 ",02-02-25,Fabric- Purchase,Jannatul Enterprise, Urbo,," 84,000 "
,,, -   ,02-02-25,Accessories Bill,,Urbo: Short cargo,Snap button," 12,000 "
,,, -   ,02-02-25,Accessories Bill,,Urbo:Slim&regular fit,Thread," 60,332 "
,,, -   ,02-02-25,Factory Maintance,,,Toiletries, 820 
,,, -   ,02-02-25,Factory Maintance,,,"Knife, pen, Scissors, chok", 910 
,,, -   ,02-02-25,Convence,,,Convence bill," 4,000 "
,,, -   ,02-02-25,Carriage Bill,,,Labour bill," 1,350 "
,,, -   ,02-02-25,Tiffin Bill,,,, 350 
,,, -   ,02-02-25,Carriage Bill,,,Covervan bill," 7,200 "
,,, -   ,02-02-25,Entertainment Bill,,,QC Lunch Bill Jan''25," 3,600 "
,,, -   ,02-02-25,Machine- Purchase,Babul Enterprise,,," 300,000 "
,,, -   ,02-02-25,Carriage Bill,Babul Enterprise,,Covervan bill," 2,500 "
,,, -   ,02-02-25,Electric Bill,,,Electric Bill," 15,000 "
03-02-2025,Loan A/C Chairman,," 187,890 ",03-02-25,Convence,,,Shamim," 1,290 "
,,, -   ,03-02-25,Fabric- Purchase,Ashim Knitwear,brooklyn: Solera, SMS sample L/C," 150,000 "
,,, -   ,03-02-25,Cons labour wages,,,Rayhan," 30,000 "
,,, -   ,03-02-25,Furniture & Fittings,New lucky Hardware,,Partex board," 6,600 "
05-02-2025,Loan A/C Chairman,," 810,997 ",05-02-25,Carriage Bill,Babul Enterprise,,Covervan bill," 2,000 "
,,,,05-02-25,Fabric- Purchase,Konabari,Brooklyn: Joggers,Ashraful," 32,000 "
,,,,05-02-25,Convence,,,Faruk, 500 
,,, -   ,05-02-25,Convence,,,Shamim & Sajedul, 960 
,,,,05-02-25,Carriage Bill,,,Labour Bill," 1,290 "
,,,,05-02-25,Convence,,,Shamim, 280 
,,,,05-02-25,Factory Papers,,,Hamid," 5,000 "
,,, -   ,05-02-25,Carriage Bill,Babul Enterprise,,Covervan bill," 2,000 "
,,,,05-02-25,SubContract Bill,LP Fashion, Urbo,," 674,467 "
,,,,05-02-25,Cons labour wages,,,Mona Tiles," 10,000 "
,,,,05-02-25,Cons labour wages,,,Belal Rong," 14,000 "
,,, -   ,05-02-25,Cons labour wages,,,Mahmud Electrician," 8,000 "
,,,,05-02-25,Accessories Bill,Sarowat Accessories, Urbo,Previous bill," 50,000 "
,,,,05-02-25,Advance Salary,,,Suboudh Jan''25," 10,000 "
,,, -   ,05-02-25,Convence,,Brooklyn: Joggers,Ashraful, 500 
06-02-2025,Loan A/C Chairman,," 6,000 ",06-02-25,Carriage Bill,,,Covervan bill," 4,500 "
06-02-2025,Received: Urbo ltd,Shipment Invoice 1 ," 2,000,000 ",06-02-25,Loan Debit ,,,Chairman," 2,000,000 "
,,,,06-02-25,Carriage Bill,,,Covervan bill," 1,500 "
09-02-2025,Loan A/C Chairman,," 803,000 ",09-02-25,Electric Bill,,,Electric Bill," 15,000 "
,,,,09-02-25,Carriage Bill,,,Van bill," 6,000 "
,,, -   ,09-02-25,Carriage Bill,,,Labour Bill," 2,000 "
,,, -   ,09-02-25,Cons labour wages,,Rayhan,Previous bill," 15,000 "
,,,,09-02-25,Fabric- Purchase,Ma Traders, Urbo,Previous bill," 500,000 "
,,,,09-02-25,Factory Papers,,,Hamid," 65,000 "
,,,,09-02-25,Machine- Purchase,Babul Enterprise,,Previous bill," 200,000 "
10-02-2025,Loan A/C Chairman by Bashar,," 13,980 ",10-02-25,Cons labour wages,,,Belal Rong koraki," 7,000 "
,,,,10-02-25,Internet bill,,,Jan''25, 600 
,,,,10-02-25,Cons labour wages,,,Mahmud Electrician," 3,500 "
,,,,10-02-25,Entertainment Bill,,,BKMEA Audit, 380 
,,,,10-02-25,Carriage Bill,,,Covervan bill Mohabat," 2,500 "
11-02-2025,Loan A/C Chairman,," 1,239,000 ",11-02-25,Accessories Bill,Sarowat Accessories, Urbo,Previous bill," 35,000 "
,,,,11-02-25,Subcontract bill,Mohabbat Garmnet,Urbo: Short cargo,8734pcs," 1,059,000 "
,,,,11-02-25,Machine- Purchase,Bhai Bhai Eyelet,,Mr Tara," 100,000 "
,,,,11-02-25,Donation Inspection,, Urbo,Sani QC Urbo," 10,000 "
,,,,11-02-25,Office Maintance,,,Stamp Revenue," 3,000 "
,,,,11-02-25,Advance Salary,,,Faruk feb 25," 22,000 "
,,,,11-02-25,Advance Salary,,,Siddik PM feb 25," 10,000 "
12-02-2025,Loan A/C Chairman,," 1,850 ",12-02-25,Entertainment Bill,, Urbo,Shipment purpose," 1,850 "
,Loan A/C Chairman by Bashar,," 19,520 ",12-02-25,Electric Bill,,,nagad: 73N10TM5," 15,000 "
,,,,12-02-25,Carriage Bill,,,Labour bill," 2,000 "
,,,,12-02-25,Entertainment Bill,,,BKMEA Audit," 1,700 "
,,,,12-02-25,Factory Maintance,,,floor cleaning, 820 
13-02-2025,Received: Urbo ltd,Shipment Invoice 1 ," 900,000 ",13-02-25,Loan Debit ,, Urbo,Chairman Sir," 900,000 "
13-02-2025,Loan A/C Chairman,," 135,178 ",13-02-25,Office Maintance,,,Mostofa," 3,490 "
,,,,13-02-25,Factory Maintance,,,Mostofa," 1,600 "
